"코드","유형","난이도","영역","역할","문항"
"1-01","OX","L1","-","앵커 A1","심정지 환자를 발견했을 때 가슴압박은 분당 100~120회 속도로 실시한다."
"1-02","MC4","L1","-","앵커 A2","우리 기관 안전신문고에 신고할 수 있는 것으로 가장 알맞은 것은?"
"1-03","MC4","L1","공단 안전","일반","우리 공단의 안전 슬로건은 무엇인가?"
"1-04","SHORT","L2","위험성평가","일반","사고로 이어지지는 않았지만 사고가 날 수 있었던 위험한 순간을 뜻하는 안전 용어는? (영어로 near miss)"
"1-05","MC4","L2","-","측정사전 M01","소화기를 사용할 때 올바른 순서는?"
"1-06","MC4","L2","-","측정사전 M02","전기설비에서 발생한 화재는 몇 급 화재인가?"
"1-07","MC4","L1","-","측정사전 M03","기름에 붙은 불을 끌 때 가장 적절한 방법은?"
"1-08","MC4","L1","-","측정사전 M04","화재로 대피할 때 가장 올바른 방법은?"
"1-09","MC4","L3","-","측정사전 M05","「피난구유도등」의 표시 방식으로 옳은 것은?"
"1-10","MC4","L2","-","측정사전 M06","실내에서 지진을 느꼈을 때 가장 먼저 해야 할 행동은?"
"1-11","OX","L1","생활안전","일반","출근길이나 퇴근길에 발생한 사고도 산업재해로 인정받을 수 있다."
"1-12","MC4","L1","생활안전","일반","우리 집에도 법적으로 갖춰야 하는 소방시설 2가지는?"
"2-01","MC4","L1","-","앵커 A1","성인 심폐소생술에서 가슴압박의 깊이는 어느 정도가 적절한가?"
"2-02","OX","L1","-","앵커 A2","다친 사람이 없었던 위험 상황은 안전신문고에 신고할 필요가 없다."
"2-03","MC4","L1","직장 건강","일반","온열질환 예방 3대 기본수칙을 올바르게 나열한 것은?"
"2-04","MC4","L3","직장 건강","일반","폭염작업 시 체감온도가 33℃ 이상인 경우 사업주가 부여해야 하는 휴식 기준은?"
"2-05","MC4","L2","-","측정사전 M07","사무직 근로자에게 가장 많이 발생하는 업무상 사고 유형은?"
"2-06","MC4","L1","-","측정사전 M08","멀티탭을 사용할 때 가장 안전한 방법은?"
"2-07","MC4","L2","-","측정사전 M09","컴퓨터 작업 시 눈과 모니터 화면 사이의 권장 거리는?"
"2-08","MC4","L3","-","측정사전 M10","사업주가 근골격계부담작업에 대한 유해요인조사를 실시해야 하는 주기는?"
"2-09","MC4","L2","-","측정사전 M11","위험성평가에 반드시 참여해야 하는 사람은?"
"2-10","MC4","L2","-","측정사전 M12","급박한 위험을 발견한 근로자가 취할 올바른 조치는?"
"2-11","MC4","L1","생활안전","일반","식중독 예방 3대 원칙에 해당하지 않는 것은?"
"2-12","OX","L1","생활안전","일반","폭염 속 주차한 차 안에 보조배터리나 라이터를 두면 폭발할 수 있다."
"3-01","OX","L1","-","앵커 A1","자동심장충격기(AED)는 의료인이 아니면 사용할 수 없다."
"3-02","OX","L2","-","앵커 A2","위험요인을 신고한 직원에게는 그 신고를 이유로 불리한 처우를 할 수 없다."
"3-03","MC4","L2","화재·대피","일반","소화기를 사용할 때 가장 먼저 해야 하는 동작은?"
"3-04","MC4","L3","화재·대피","일반","축압식 분말소화기의 지시압력계 바늘이 정상 범위일 때 가리키는 색은?"
"3-05","OX","L1","화재·대피","일반","화재를 발견하면 먼저 혼자 끄려고 시도하고, 실패하면 그때 주변에 알린다."
"3-06","MC4","L2","화재·대피","일반","소화기로 초기진화를 포기하고 즉시 대피해야 하는 시점은?"
"3-07","MC4","L3","화재·대피","일반","복도에서 '출구 방향'을 알려주는 「통로유도등」의 표시 방식은?"
"3-08","MC4","L2","화재·대피","일반","연기가 가득한 복도를 지나 대피할 때 가장 올바른 방법은?"
"3-09","ORDER","L2","화재·대피","일반","실내에서 지진이 발생했을 때의 행동 순서를 배열하시오."
"3-10","MC4","L2","생활안전","일반","집에서 가스 냄새가 났을 때 해서는 안 되는 행동은?"
"3-11","MC4","L2","응급처치","일반","뜨거운 물이나 불에 화상을 입었을 때 가장 적절한 응급처치는?"
"3-12","OX","L1","응급처치","일반","음식물이 목에 걸려 말을 못 하고 목을 감싸 쥔 사람에게는 등을 두드리기보다 복부를 밀어 올리는 처치(하임리히법)를 한다."
"4-01","MC4","L1","-","앵커 A1","심정지 발생 후 뇌 손상 없이 소생할 가능성이 큰 시간, 이른바 '골든타임'은?"
"4-02","MC4","L2","-","앵커 A2","사무실에서 바닥에 늘어진 전선을 발견했다. 가장 바람직한 행동은?"
"4-03","MC4","L2","사무실 안전","일반","사무실에서 넘어짐(전도) 사고를 줄이기 위한 조치로 가장 효과가 큰 것은?"
"4-04","OX","L2","사무실 안전","일반","높이가 높은 서류 캐비닛이나 책장은 벽 또는 옆 캐비닛에 고정해야 한다."
"4-05","OX","L1","사무실 안전","일반","콘센트에 먼지가 쌓여 있어도 전기가 통하지 않으므로 화재와는 무관하다."
"4-06","OX","L1","생활안전","일반","보조배터리가 부풀어 올랐다면 충전만 하지 않으면 계속 사용해도 된다."
"4-07","MC4","L1","응급처치","일반","팔에 상처가 나 피가 흐를 때 가장 먼저 해야 할 처치는?"
